STATION,NAME,DATE,AWND,FMTM,PGTM,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV20
USW00014765,"PROVIDENCE, RI US",3/22/2000,12.08,1713,1112,43,50,36,50,50,17.9,23,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/23/2000,6.04,1615,1654,46,57,34,160,160,13,14.1,1,,,,,,,1,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/24/2000,7.38,1422,758,49,64,34,200,20,19.9,23,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/25/2000,9.17,1511,1645,47,64,30,210,240,23.9,30,,,1,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/26/2000,8.95,1708,1715,56,65,46,320,320,19.9,23.9,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/27/2000,9.62,1400,1359,46,55,36,160,160,23,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/28/2000,15.88,724,556,51,57,44,140,130,30,40,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/29/2000,12.53,1401,1432,51,58,44,280,250,25.1,36,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/30/2000,8.28,1244,1405,46,54,37,220,250,17.9,23,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",3/31/2000,8.72,1705,1805,47,56,37,330,320,17,21,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/1/2000,7.61,1702,1610,48,63,33,250,240,17.9,21.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/2/2000,11.41,1537,1420,53,64,42,230,220,29.1,34,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/3/2000,3.8,1811,1814,51,54,47,160,160,10.1,11,1,1,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/4/2000,12.97,830,724,57,65,48,230,210,30,40,1,1,,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/5/2000,16.11,1631,1639,45,50,40,280,290,25.9,34,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/6/2000,9.4,1355,1352,46,60,31,200,190,23.9,29.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/7/2000,8.5,1634,824,52,64,39,190,290,17.9,21.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/8/2000,18.57,1401,1229,61,74,47,200,230,38,48.1,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/9/2000,19.69,602,601,46,59,33,160,160,38,49,1,,,,,,,,,,,1,,,1,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",4/10/2000,14.54,1432,1329,45,53,37,280,300,23,29.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/11/2000,6.26,1311,1240,38,44,31,200,150,17,21.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/12/2000,10.51,1418,1415,43,52,34,320,320,23.9,29.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/13/2000,10.07,1552,1525,41,51,31,190,180,19.9,23,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/14/2000,10.74,1533,1454,42,53,31,210,180,23,28,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/15/2000,7.16,1812,1741,52,63,41,220,230,14.1,17.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/16/2000,6.26,1613,1600,60,71,49,60,10,21,25.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/17/2000,11.86,620,519,44,49,38,60,40,17.9,23,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/18/2000,16.11,1520,1813,43,47,38,50,40,23,29.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/19/2000,17.9,1916,1916,43,45,41,20,20,25.1,29.1,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/20/2000,9.62,105,1126,52,61,42,20,20,19.9,25.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/21/2000,9.84,2014,2013,45,48,42,80,80,19.9,23,1,,1,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/22/2000,12.08,225,225,48,53,42,90,80,30,36,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/23/2000,11.41,817,816,45,48,42,10,10,17,21,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/24/2000,14.32,1511,1557,50,57,43,330,330,23.9,30,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/25/2000,14.32,2338,2337,46,54,37,50,60,25.1,31.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/26/2000,15.88,1114,11,39,41,36,20,40,25.1,31.1,1,,,,,,,,,,,1,1,,1,,1,,,,,,
USW00014765,"PROVIDENCE, RI US",4/27/2000,6.26,1656,1728,44,51,37,160,160,15,16.1,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/28/2000,6.71,1436,1436,45,54,35,320,10,15,21,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/29/2000,7.16,1531,1541,49,61,37,30,50,19.9,21.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",4/30/2000,11.86,1453,1530,53,63,42,360,10,23,29.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/1/2000,13.2,,,,62,35,220,220,23.9,32,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/2/2000,8.95,,,,65,49,10,360,14.1,21.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/3/2000,6.93,,,,60,39,160,160,17.9,17.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/4/2000,11.41,1527,1526,61,69,41,200,200,25.1,29.1,1,,,,,,,,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/5/2000,6.71,1427,1426,69,83,54,310,310,17,21.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/6/2000,6.93,1431,1454,65,76,53,190,170,17,19.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/7/2000,9.17,1757,1647,71,91,51,280,220,23.9,30,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/8/2000,9.84,1516,1515,75,91,59,230,230,23.9,28,1,,1,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/9/2000,12.53,2323,1613,71,91,50,50,240,25.1,31.1,1,,1,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/10/2000,12.97,337,337,49,51,47,70,80,23,25.9,1,,1,,,,,,,,,1,1,,1,,,,,,,1,
USW00014765,"PROVIDENCE, RI US",5/11/2000,7.16,9,242,57,68,46,40,360,19.9,21.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/12/2000,6.49,1127,1127,57,64,49,160,160,17,21,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/13/2000,5.59,653,653,55,59,50,100,90,17.9,21,1,,1,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/14/2000,7.83,1636,1536,64,75,53,320,280,17.9,23,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/15/2000,10.51,1413,1153,55,64,46,320,290,21,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/16/2000,9.4,1726,1726,55,68,41,210,210,23,25.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/17/2000,8.95,1728,1636,62,70,53,230,230,21.9,28,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/18/2000,17,1605,1412,62,68,55,220,240,38,48.1,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/19/2000,12.3,1717,1541,53,62,43,40,50,21,25.9,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/20/2000,7.38,1152,1151,51,59,43,60,60,17,19.9,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/21/2000,4.25,1808,1736,53,55,50,200,180,8.9,12.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/22/2000,4.92,1411,1913,53,56,49,180,70,13,14.1,1,,,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/23/2000,8.05,1427,1443,55,61,48,160,160,17.9,21,1,,,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/24/2000,7.61,244,238,63,75,51,170,170,17,21,1,1,1,,,,,1,,,,1,,,1,,,,,,,1,
USW00014765,"PROVIDENCE, RI US",5/25/2000,8.95,1247,1228,66,75,56,280,290,29.1,36.9,1,1,,,,,,,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/26/2000,11.18,953,1019,63,73,52,320,330,21.9,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/27/2000,10.29,1528,1422,64,73,54,300,320,19.9,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/28/2000,6.04,702,1026,57,63,50,20,50,13,14.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/29/2000,11.86,1306,1357,55,62,48,50,50,21.9,25.1,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/30/2000,7.38,1524,1503,55,65,45,180,160,14.1,17,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",5/31/2000,6.26,1555,1600,57,68,45,160,160,17.9,21,1,,,,,,,1,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/1/2000,7.38,1424,1423,66,80,52,160,160,16.1,17.9,,,,,,,,1,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/2/2000,8.72,1754,1753,77,86,67,320,310,28,34.9,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/3/2000,10.07,1218,927,63,72,54,10,330,21,30,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/4/2000,7.16,1630,1601,60,72,48,190,200,17,21,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/5/2000,9.4,1758,1520,62,69,54,50,60,17,21.9,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/6/2000,14.99,2153,2153,54,58,49,40,50,30,38.9,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/7/2000,13.65,143,10,60,72,47,20,30,30,36.9,1,,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/8/2000,7.61,1715,1714,62,74,49,230,220,19.9,23,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/9/2000,9.62,1503,1508,74,83,64,260,260,17.9,23,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/10/2000,8.72,1640,1639,77,91,63,260,260,17.9,23.9,1,,,,,,,1,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/11/2000,8.05,1414,1415,68,84,52,10,10,23,28,1,,1,,,,,1,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/12/2000,9.17,1335,1334,54,56,52,40,50,15,16.1,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/13/2000,8.72,1403,1405,59,66,51,160,160,15,17,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/14/2000,6.93,1057,1219,58,64,52,70,90,12.1,14.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/15/2000,6.93,1510,1027,60,63,57,150,180,13,15,1,1,,,,,,,,,,1,1,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/16/2000,9.4,1426,1426,72,83,61,240,240,23.9,30,1,1,,,,,,1,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/17/2000,8.5,1606,1605,78,89,66,320,280,23.9,33.1,1,,1,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/18/2000,6.26,2319,743,68,75,61,30,20,12.1,14.1,,,,,,,,,,,,,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/19/2000,5.14,754,811,64,70,58,20,20,12.1,13,1,,,,,,,,,,,1,,,1,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/20/2000,5.82,827,1113,69,81,57,350,320,17,21,1,,,,,,,,,,,1,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/21/2000,14.09,1633,1629,70,79,61,230,240,28,38,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/22/2000,9.4,44,43,76,83,69,210,220,21,25.9,,,,,,,,,,,,,,,,,,,,,,,
USW00014765,"PROVIDENCE, RI US",6/23/2000,9.17,1422,1421,74,82,66,290,280,16.1,21,,,,,,,,,,,,,,,,,,,,,,,
